Date,House_Price,Quarter,Rate
1992-06-30,77000.0,1992Q2,9.88
1992-09-30,70000.0,1992Q3,8.88
1992-12-31,70000.0,1992Q4,7.38
1993-03-31,73000.0,1993Q1,5.88
1993-12-31,73000.0,1993Q4,5.38
1994-03-31,73000.0,1994Q1,5.13
1994-09-30,74000.0,1994Q3,5.63
1994-12-31,77000.0,1994Q4,6.13
1995-03-31,75000.0,1995Q1,6.63
1995-12-31,82000.0,1995Q4,6.38
1996-03-31,81000.0,1996Q1,6.035
1996-06-30,83000.0,1996Q2,5.69
1996-12-31,89000.0,1996Q4,5.94
1997-06-30,92000.0,1997Q2,6.375
1997-09-30,93000.0,1997Q3,6.875
1997-12-31,93000.0,1997Q4,7.25
1998-06-30,97000.0,1998Q2,7.5
1998-12-31,102000.0,1998Q4,6.75
1999-03-31,106000.0,1999Q1,5.75
1999-06-30,112000.0,1999Q2,5.125
1999-09-30,113000.0,1999Q3,5.25
1999-12-31,116000.0,1999Q4,5.5
2000-03-31,121000.0,2000Q1,5.875
2001-03-31,131000.0,2001Q1,5.75
2001-06-30,128000.0,2001Q2,5.375
2001-09-30,137000.0,2001Q3,4.875
2001-12-31,134000.0,2001Q4,4.25
2003-03-31,161000.0,2003Q1,3.75
2003-09-30,196000.0,2003Q3,3.5
2003-12-31,198000.0,2003Q4,3.75
2004-03-31,204000.0,2004Q1,4.0
2004-06-30,208000.0,2004Q2,4.375
2004-09-30,215000.0,2004Q3,4.75
2005-09-30,213000.0,2005Q3,4.5
2006-09-30,221000.0,2006Q3,4.75
2006-12-31,222000.0,2006Q4,5.0
2007-03-31,221000.0,2007Q1,5.25
2007-06-30,226000.0,2007Q2,5.5
2007-09-30,224000.0,2007Q3,5.75
2007-12-31,227000.0,2007Q4,5.5
2008-03-31,227000.0,2008Q1,5.25
2008-06-30,232000.0,2008Q2,5.0
2008-12-31,203000.0,2008Q4,3.1666666666666665
2009-03-31,193000.0,2009Q1,1.0
2016-09-30,287000.0,2016Q3,0.25
2017-12-31,306000.0,2017Q4,0.5
2018-09-30,311000.0,2018Q3,0.75
2020-03-31,312000.0,2020Q1,0.175
2021-12-31,312000.0,2021Q4,0.25
2022-03-31,330000.0,2022Q1,0.625
2022-06-30,332000.0,2022Q2,1.125
2022-09-30,339000.0,2022Q3,2.0
2022-12-31,334000.0,2022Q4,3.25
2023-03-31,332000.0,2023Q1,4.125
2023-06-30,330000.0,2023Q2,4.75
2023-09-30,323000.0,2023Q3,5.25
2024-09-30,329000.0,2024Q3,5.0
2024-12-31,332000.0,2024Q4,4.75
2025-03-31,340000.0,2025Q1,4.5
2025-06-30,332000.0,2025Q2,4.25
2025-09-30,339000.0,2025Q3,4.0
2025-12-31,346000.0,2025Q4,3.75
1992-06-30,78000.0,1992Q2,9.88
1992-09-30,71000.0,1992Q3,8.88
1992-12-31,71000.0,1992Q4,7.38
1993-03-31,74000.0,1993Q1,5.88
1993-12-31,75000.0,1993Q4,5.38
1994-03-31,74000.0,1994Q1,5.13
1994-09-30,75000.0,1994Q3,5.63
1994-12-31,78000.0,1994Q4,6.13
1995-03-31,76000.0,1995Q1,6.63
1995-12-31,83000.0,1995Q4,6.38
1996-03-31,83000.0,1996Q1,6.035
1996-06-30,84000.0,1996Q2,5.69
1996-12-31,92000.0,1996Q4,5.94
1997-06-30,94000.0,1997Q2,6.375
1997-09-30,95000.0,1997Q3,6.875
1997-12-31,94000.0,1997Q4,7.25
1998-06-30,99000.0,1998Q2,7.5
1998-12-31,103000.0,1998Q4,6.75
1999-03-31,109000.0,1999Q1,5.75
1999-06-30,114000.0,1999Q2,5.125
1999-09-30,116000.0,1999Q3,5.25
1999-12-31,119000.0,1999Q4,5.5
2000-03-31,124000.0,2000Q1,5.875
2001-03-31,133000.0,2001Q1,5.75
2001-06-30,131000.0,2001Q2,5.375
2001-09-30,139000.0,2001Q3,4.875
2001-12-31,137000.0,2001Q4,4.25
2003-03-31,167000.0,2003Q1,3.75
2003-09-30,201000.0,2003Q3,3.5
2003-12-31,203000.0,2003Q4,3.75
2004-03-31,210000.0,2004Q1,4.0
2004-06-30,212000.0,2004Q2,4.375
2004-09-30,220000.0,2004Q3,4.75
2005-09-30,218000.0,2005Q3,4.5
2006-09-30,221000.0,2006Q3,4.75
2006-12-31,222000.0,2006Q4,5.0
2007-03-31,220000.0,2007Q1,5.25
2007-06-30,224000.0,2007Q2,5.5
2007-09-30,222000.0,2007Q3,5.75
2007-12-31,225000.0,2007Q4,5.5
2008-03-31,225000.0,2008Q1,5.25
2008-06-30,231000.0,2008Q2,5.0
2008-12-31,202000.0,2008Q4,3.1666666666666665
2009-03-31,191000.0,2009Q1,1.0
2016-09-30,290000.0,2016Q3,0.25
2017-12-31,311000.0,2017Q4,0.5
2018-09-30,314000.0,2018Q3,0.75
2020-03-31,316000.0,2020Q1,0.175
2021-12-31,315000.0,2021Q4,0.25
2022-03-31,334000.0,2022Q1,0.625
2022-06-30,335000.0,2022Q2,1.125
2022-09-30,341000.0,2022Q3,2.0
2022-12-31,336000.0,2022Q4,3.25
2023-03-31,334000.0,2023Q1,4.125
2023-06-30,331000.0,2023Q2,4.75
2023-09-30,325000.0,2023Q3,5.25
2024-09-30,331000.0,2024Q3,5.0
2024-12-31,334000.0,2024Q4,4.75
2025-03-31,342000.0,2025Q1,4.5
2025-06-30,334000.0,2025Q2,4.25
2025-09-30,342000.0,2025Q3,4.0
2025-12-31,348000.0,2025Q4,3.75
1992-06-30,79000.0,1992Q2,9.88
1992-09-30,71000.0,1992Q3,8.88
1992-12-31,70000.0,1992Q4,7.38
1993-03-31,75000.0,1993Q1,5.88
1993-12-31,75000.0,1993Q4,5.38
1994-03-31,75000.0,1994Q1,5.13
1994-09-30,75000.0,1994Q3,5.63
1994-12-31,79000.0,1994Q4,6.13
1995-03-31,77000.0,1995Q1,6.63
1995-12-31,84000.0,1995Q4,6.38
1996-03-31,83000.0,1996Q1,6.035
1996-06-30,86000.0,1996Q2,5.69
1996-12-31,93000.0,1996Q4,5.94
1997-06-30,96000.0,1997Q2,6.375
1997-09-30,96000.0,1997Q3,6.875
1997-12-31,95000.0,1997Q4,7.25
1998-06-30,101000.0,1998Q2,7.5
1998-12-31,104000.0,1998Q4,6.75
1999-03-31,112000.0,1999Q1,5.75
1999-06-30,116000.0,1999Q2,5.125
1999-09-30,118000.0,1999Q3,5.25
1999-12-31,122000.0,1999Q4,5.5
2000-03-31,127000.0,2000Q1,5.875
2001-03-31,137000.0,2001Q1,5.75
2001-06-30,136000.0,2001Q2,5.375
2001-09-30,144000.0,2001Q3,4.875
2001-12-31,145000.0,2001Q4,4.25
2003-03-31,175000.0,2003Q1,3.75
2003-09-30,211000.0,2003Q3,3.5
2003-12-31,211000.0,2003Q4,3.75
2004-03-31,215000.0,2004Q1,4.0
2004-06-30,219000.0,2004Q2,4.375
2004-09-30,227000.0,2004Q3,4.75
2005-09-30,225000.0,2005Q3,4.5
2006-09-30,225000.0,2006Q3,4.75
2006-12-31,225000.0,2006Q4,5.0
2007-03-31,222000.0,2007Q1,5.25
2007-06-30,226000.0,2007Q2,5.5
2007-09-30,224000.0,2007Q3,5.75
2007-12-31,226000.0,2007Q4,5.5
2008-03-31,225000.0,2008Q1,5.25
2008-06-30,231000.0,2008Q2,5.0
2008-12-31,200000.0,2008Q4,3.1666666666666665
2009-03-31,190000.0,2009Q1,1.0
2016-09-30,295000.0,2016Q3,0.25
2017-12-31,315000.0,2017Q4,0.5
2018-09-30,319000.0,2018Q3,0.75
2020-03-31,321000.0,2020Q1,0.175
2021-12-31,318000.0,2021Q4,0.25
2022-03-31,337000.0,2022Q1,0.625
2022-06-30,339000.0,2022Q2,1.125
2022-09-30,344000.0,2022Q3,2.0
2022-12-31,338000.0,2022Q4,3.25
2023-03-31,335000.0,2023Q1,4.125
2023-06-30,332000.0,2023Q2,4.75
2023-09-30,325000.0,2023Q3,5.25
2024-09-30,331000.0,2024Q3,5.0
2024-12-31,334000.0,2024Q4,4.75
2025-03-31,342000.0,2025Q1,4.5
2025-06-30,334000.0,2025Q2,4.25
2025-09-30,342000.0,2025Q3,4.0
2025-12-31,350000.0,2025Q4,3.75
1992-06-30,79000.0,1992Q2,9.88
1992-09-30,72000.0,1992Q3,8.88
1992-12-31,71000.0,1992Q4,7.38
1993-03-31,75000.0,1993Q1,5.88
1993-12-31,76000.0,1993Q4,5.38
1994-03-31,76000.0,1994Q1,5.13
1994-09-30,76000.0,1994Q3,5.63
1994-12-31,81000.0,1994Q4,6.13
1995-03-31,77000.0,1995Q1,6.63
1995-12-31,85000.0,1995Q4,6.38
1996-03-31,84000.0,1996Q1,6.035
1996-06-30,87000.0,1996Q2,5.69
1996-12-31,94000.0,1996Q4,5.94
1997-06-30,96000.0,1997Q2,6.375
1997-09-30,97000.0,1997Q3,6.875
1997-12-31,96000.0,1997Q4,7.25
1998-06-30,102000.0,1998Q2,7.5
1998-12-31,105000.0,1998Q4,6.75
1999-03-31,113000.0,1999Q1,5.75
1999-06-30,118000.0,1999Q2,5.125
1999-09-30,120000.0,1999Q3,5.25
1999-12-31,124000.0,1999Q4,5.5
2000-03-31,128000.0,2000Q1,5.875
2001-03-31,138000.0,2001Q1,5.75
2001-06-30,139000.0,2001Q2,5.375
2001-09-30,147000.0,2001Q3,4.875
2001-12-31,147000.0,2001Q4,4.25
2003-03-31,177000.0,2003Q1,3.75
2003-09-30,216000.0,2003Q3,3.5
2003-12-31,214000.0,2003Q4,3.75
2004-03-31,218000.0,2004Q1,4.0
2004-06-30,222000.0,2004Q2,4.375
2004-09-30,230000.0,2004Q3,4.75
2005-09-30,227000.0,2005Q3,4.5
2006-09-30,227000.0,2006Q3,4.75
2006-12-31,227000.0,2006Q4,5.0
2007-03-31,224000.0,2007Q1,5.25
2007-06-30,227000.0,2007Q2,5.5
2007-09-30,224000.0,2007Q3,5.75
2007-12-31,227000.0,2007Q4,5.5
2008-03-31,226000.0,2008Q1,5.25
2008-06-30,233000.0,2008Q2,5.0
2008-12-31,201000.0,2008Q4,3.1666666666666665
2009-03-31,193000.0,2009Q1,1.0
2016-09-30,299000.0,2016Q3,0.25
2017-12-31,319000.0,2017Q4,0.5
2018-09-30,322000.0,2018Q3,0.75
2020-03-31,324000.0,2020Q1,0.175
2021-12-31,319000.0,2021Q4,0.25
2022-03-31,338000.0,2022Q1,0.625
2022-06-30,340000.0,2022Q2,1.125
2022-09-30,346000.0,2022Q3,2.0
2022-12-31,339000.0,2022Q4,3.25
2023-03-31,336000.0,2023Q1,4.125
2023-06-30,333000.0,2023Q2,4.75
2023-09-30,326000.0,2023Q3,5.25
2024-09-30,332000.0,2024Q3,5.0
2024-12-31,335000.0,2024Q4,4.75
2025-03-31,343000.0,2025Q1,4.5
2025-06-30,335000.0,2025Q2,4.25
2025-09-30,343000.0,2025Q3,4.0
2025-12-31,351000.0,2025Q4,3.75
1992-06-30,75000.0,1992Q2,9.88
1992-09-30,66000.0,1992Q3,8.88
1992-12-31,72000.0,1992Q4,7.38
1993-03-31,69000.0,1993Q1,5.88
1993-12-31,69000.0,1993Q4,5.38
1994-03-31,73000.0,1994Q1,5.13
1994-09-30,68000.0,1994Q3,5.63
1994-12-31,81000.0,1994Q4,6.13
1995-03-31,70000.0,1995Q1,6.63
1995-12-31,68000.0,1995Q4,6.38
1996-03-31,68000.0,1996Q1,6.035
1996-06-30,77000.0,1996Q2,5.69
1996-12-31,70000.0,1996Q4,5.94
1997-06-30,72000.0,1997Q2,6.375
1997-09-30,73000.0,1997Q3,6.875
1997-12-31,81000.0,1997Q4,7.25
1998-06-30,68000.0,1998Q2,7.5
1998-12-31,80000.0,1998Q4,6.75
1999-03-31,83000.0,1999Q1,5.75
1999-06-30,88000.0,1999Q2,5.125
1999-09-30,91000.0,1999Q3,5.25
1999-12-31,79000.0,1999Q4,5.5
2000-03-31,91000.0,2000Q1,5.875
2001-03-31,91000.0,2001Q1,5.75
2001-06-30,96000.0,2001Q2,5.375
2001-09-30,107000.0,2001Q3,4.875
2001-12-31,122000.0,2001Q4,4.25
2003-03-31,135000.0,2003Q1,3.75
2003-09-30,162000.0,2003Q3,3.5
2003-12-31,170000.0,2003Q4,3.75
2004-03-31,174000.0,2004Q1,4.0
2004-06-30,181000.0,2004Q2,4.375
2004-09-30,174000.0,2004Q3,4.75
2005-09-30,196000.0,2005Q3,4.5
2006-09-30,182000.0,2006Q3,4.75
2006-12-31,195000.0,2006Q4,5.0
2007-03-31,195000.0,2007Q1,5.25
2007-06-30,197000.0,2007Q2,5.5
2007-09-30,188000.0,2007Q3,5.75
2007-12-31,197000.0,2007Q4,5.5
2008-03-31,197000.0,2008Q1,5.25
2008-06-30,200000.0,2008Q2,5.0
2008-12-31,188000.0,2008Q4,3.1666666666666665
2009-03-31,167000.0,2009Q1,1.0
2016-09-30,206000.0,2016Q3,0.25
2017-12-31,216000.0,2017Q4,0.5
2018-09-30,227000.0,2018Q3,0.75
2020-03-31,239000.0,2020Q1,0.175
2021-12-31,240000.0,2021Q4,0.25
2022-03-31,261000.0,2022Q1,0.625
2022-06-30,241000.0,2022Q2,1.125
2022-09-30,260000.0,2022Q3,2.0
2022-12-31,253000.0,2022Q4,3.25
2023-03-31,269000.0,2023Q1,4.125
2023-06-30,254000.0,2023Q2,4.75
2023-09-30,269000.0,2023Q3,5.25
2024-09-30,264000.0,2024Q3,5.0
2024-12-31,262000.0,2024Q4,4.75
2025-03-31,269000.0,2025Q1,4.5
2025-06-30,273000.0,2025Q2,4.25
2025-09-30,284000.0,2025Q3,4.0
2025-12-31,285000.0,2025Q4,3.75
1992-06-30,76000.0,1992Q2,9.88
1992-09-30,73000.0,1992Q3,8.88
1992-12-31,76000.0,1992Q4,7.38
1993-03-31,75000.0,1993Q1,5.88
1993-12-31,74000.0,1993Q4,5.38
1994-03-31,71000.0,1994Q1,5.13
1994-09-30,70000.0,1994Q3,5.63
1994-12-31,78000.0,1994Q4,6.13
1995-03-31,72000.0,1995Q1,6.63
1995-12-31,78000.0,1995Q4,6.38
1996-03-31,71000.0,1996Q1,6.035
1996-06-30,67000.0,1996Q2,5.69
1996-12-31,75000.0,1996Q4,5.94
1997-06-30,87000.0,1997Q2,6.375
1997-09-30,83000.0,1997Q3,6.875
1997-12-31,82000.0,1997Q4,7.25
1998-06-30,82000.0,1998Q2,7.5
1998-12-31,89000.0,1998Q4,6.75
1999-03-31,89000.0,1999Q1,5.75
1999-06-30,87000.0,1999Q2,5.125
1999-09-30,95000.0,1999Q3,5.25
1999-12-31,97000.0,1999Q4,5.5
2000-03-31,104000.0,2000Q1,5.875
2001-03-31,102000.0,2001Q1,5.75
2001-06-30,114000.0,2001Q2,5.375
2001-09-30,104000.0,2001Q3,4.875
2001-12-31,117000.0,2001Q4,4.25
2003-03-31,134000.0,2003Q1,3.75
2003-09-30,165000.0,2003Q3,3.5
2003-12-31,169000.0,2003Q4,3.75
2004-03-31,174000.0,2004Q1,4.0
2004-06-30,174000.0,2004Q2,4.375
2004-09-30,192000.0,2004Q3,4.75
2005-09-30,188000.0,2005Q3,4.5
2006-09-30,198000.0,2006Q3,4.75
2006-12-31,195000.0,2006Q4,5.0
2007-03-31,194000.0,2007Q1,5.25
2007-06-30,208000.0,2007Q2,5.5
2007-09-30,190000.0,2007Q3,5.75
2007-12-31,207000.0,2007Q4,5.5
2008-03-31,200000.0,2008Q1,5.25
2008-06-30,211000.0,2008Q2,5.0
2008-12-31,182000.0,2008Q4,3.1666666666666665
2009-03-31,158000.0,2009Q1,1.0
2016-09-30,232000.0,2016Q3,0.25
2017-12-31,242000.0,2017Q4,0.5
2018-09-30,247000.0,2018Q3,0.75
2020-03-31,245000.0,2020Q1,0.175
2021-12-31,265000.0,2021Q4,0.25
2022-03-31,268000.0,2022Q1,0.625
2022-06-30,279000.0,2022Q2,1.125
2022-09-30,275000.0,2022Q3,2.0
2022-12-31,281000.0,2022Q4,3.25
2023-03-31,273000.0,2023Q1,4.125
2023-06-30,289000.0,2023Q2,4.75
2023-09-30,276000.0,2023Q3,5.25
2024-09-30,290000.0,2024Q3,5.0
2024-12-31,294000.0,2024Q4,4.75
2025-03-31,305000.0,2025Q1,4.5
2025-06-30,290000.0,2025Q2,4.25
2025-09-30,300000.0,2025Q3,4.0
2025-12-31,310000.0,2025Q4,3.75
1992-06-30,79000.0,1992Q2,9.88
1992-09-30,74000.0,1992Q3,8.88
1992-12-31,65000.0,1992Q4,7.38
1993-03-31,87000.0,1993Q1,5.88
1993-12-31,74000.0,1993Q4,5.38
1994-03-31,79000.0,1994Q1,5.13
1994-09-30,65000.0,1994Q3,5.63
1994-12-31,76000.0,1994Q4,6.13
1995-03-31,73000.0,1995Q1,6.63
1995-12-31,81000.0,1995Q4,6.38
1996-03-31,67000.0,1996Q1,6.035
1996-06-30,84000.0,1996Q2,5.69
1996-12-31,89000.0,1996Q4,5.94
1997-06-30,84000.0,1997Q2,6.375
1997-09-30,83000.0,1997Q3,6.875
1997-12-31,87000.0,1997Q4,7.25
1998-06-30,88000.0,1998Q2,7.5
1998-12-31,92000.0,1998Q4,6.75
1999-03-31,103000.0,1999Q1,5.75
1999-06-30,90000.0,1999Q2,5.125
1999-09-30,88000.0,1999Q3,5.25
1999-12-31,98000.0,1999Q4,5.5
2000-03-31,89000.0,2000Q1,5.875
2001-03-31,95000.0,2001Q1,5.75
2001-06-30,109000.0,2001Q2,5.375
2001-09-30,99000.0,2001Q3,4.875
2001-12-31,104000.0,2001Q4,4.25
2003-03-31,145000.0,2003Q1,3.75
2003-09-30,160000.0,2003Q3,3.5
2003-12-31,166000.0,2003Q4,3.75
2004-03-31,165000.0,2004Q1,4.0
2004-06-30,180000.0,2004Q2,4.375
2004-09-30,181000.0,2004Q3,4.75
2005-09-30,185000.0,2005Q3,4.5
2006-09-30,200000.0,2006Q3,4.75
2006-12-31,190000.0,2006Q4,5.0
2007-03-31,199000.0,2007Q1,5.25
2007-06-30,196000.0,2007Q2,5.5
2007-09-30,195000.0,2007Q3,5.75
2007-12-31,200000.0,2007Q4,5.5
2008-03-31,202000.0,2008Q1,5.25
2008-06-30,202000.0,2008Q2,5.0
