"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,,,
Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers
1992 Q1,United Kingdom,K02000001,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1992 Q2,United Kingdom,K02000001,"77,000 ","52,000 ","24,000 ","60,000 ","43,000 ","21,000 ","62,000 ","44,000 ","21,000 ","47,000 ","39,000 ","18,000 ","77,000 ","49,000 ","24,000 "
1992 Q3,United Kingdom,K02000001,"70,000 ","50,000 ","24,000 ","63,000 ","45,000 ","21,000 ","64,000 ","45,000 ","22,000 ","49,000 ","40,000 ","19,000 ","79,000 ","50,000 ","25,000 "
1992 Q4,United Kingdom,K02000001,"70,000 ","50,000 ","23,000 ","57,000 ","41,000 ","20,000 ","59,000 ","42,000 ","21,000 ","45,000 ","37,000 ","18,000 ","77,000 ","49,000 ","25,000 "
1993 Q1,United Kingdom,K02000001,"73,000 ","52,000 ","24,000 ","58,000 ","42,000 ","21,000 ","60,000 ","43,000 ","21,000 ","46,000 ","38,000 ","18,000 ","78,000 ","50,000 ","25,000 "
1993 Q2,United Kingdom,K02000001,"73,000 ","51,000 ","23,000 ","60,000 ","44,000 ","21,000 ","62,000 ","45,000 ","21,000 ","49,000 ","40,000 ","18,000 ","78,000 ","51,000 ","25,000 "
1993 Q3,United Kingdom,K02000001,"73,000 ","51,000 ","24,000 ","62,000 ","45,000 ","21,000 ","64,000 ","46,000 ","22,000 ","48,000 ","40,000 ","18,000 ","82,000 ","52,000 ","26,000 "
1993 Q4,United Kingdom,K02000001,"73,000 ","52,000 ","24,000 ","60,000 ","44,000 ","21,000 ","63,000 ","45,000 ","22,000 ","47,000 ","39,000 ","18,000 ","80,000 ","52,000 ","25,000 "
1994 Q1,United Kingdom,K02000001,"73,000 ","52,000 ","24,000 ","60,000 ","44,000 ","21,000 ","62,000 ","45,000 ","22,000 ","46,000 ","38,000 ","18,000 ","82,000 ","53,000 ","26,000 "
1994 Q2,United Kingdom,K02000001,"74,000 ","53,000 ","24,000 ","63,000 ","46,000 ","22,000 ","65,000 ","47,000 ","22,000 ","49,000 ","41,000 ","19,000 ","84,000 ","55,000 ","27,000 "
